case_id,task,expected_label,clean_request,raw_source_text,family,variant_text,rationale,author,reviewer,semantic_risk,proposed_tier,Lamei_decision
handwritten-disgust-2.oces.paraphrase,emotion,disgust,"He spat the mouldy bread out, revolted by the taste.","He spat the mouldy bread out, revolted by the taste.",oces.paraphrase,"Revolted by the taste, he spat out the mouldy bread.",Clause order swapped; disgust cue (revolted/mouldy) preserved.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-disgust-2.oces.distractor,emotion,disgust,"He spat the mouldy bread out, revolted by the taste.","He spat the mouldy bread out, revolted by the taste.",oces.distractor,"He spat the mouldy bread out, revolted by the taste. The bus stop is two blocks from the building.","Clean request used verbatim as the prefix; one unrelated, affect-free logistical clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-fear-0.oces.paraphrase,emotion,fear,i feel scared that i own it,i feel scared that i own it,oces.paraphrase,It frightens me that I own it.,"Very short, semantically thin seed; a 7-way model may be unstable, so kept for review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-fear-0.oces.distractor,emotion,fear,i feel scared that i own it,i feel scared that i own it,oces.distractor,i feel scared that i own it The receipt is filed in the top drawer.,Short/ambiguous seed; kept visible for review even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-fear-1.oces.paraphrase,emotion,fear,i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,oces.paraphrase,"I feel like someone's odd uncle at a party, trying to break the ice by showing off an amazing talent, expecting the guests to be impressed, but instead making everything a hundred times more awkward.","Longer social-anxiety seed; meaning preserved, but fear-vs-embarrassment is subtle for a 7-way head.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-fear-1.oces.distractor,emotion,fear,i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,oces.distractor,i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward The party was held on the second Saturday of the month.,"Clean request used verbatim as the prefix; one unrelated, affect-free temporal clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-fear-2.oces.paraphrase,emotion,fear,i can remember a year ago yesterday feeling so unsure so scared of what our future held,i can remember a year ago yesterday feeling so unsure so scared of what our future held,oces.paraphrase,"A year ago yesterday, I remember feeling so uncertain, so scared of what our future held.",Explicit fear cue (scared) preserved; clause reordered.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-fear-2.oces.distractor,emotion,fear,i can remember a year ago yesterday feeling so unsure so scared of what our future held,i can remember a year ago yesterday feeling so unsure so scared of what our future held,oces.distractor,i can remember a year ago yesterday feeling so unsure so scared of what our future held The calendar on the wall still showed last month.,"Clean request used verbatim as the prefix; one unrelated, affect-free ordinary_observation clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-joy-0.oces.paraphrase,emotion,joy,i strongly feel that at this point in my life i am no longer desiring to walk this path that i am on and to be truthful i have no clue as to where i am going with my life from here,i strongly feel that at this point in my life i am no longer desiring to walk this path that i am on and to be truthful i have no clue as to where i am going with my life from here,oces.paraphrase,"I strongly feel that, at this point in my life, I no longer want to walk the path I'm on, and honestly, I have no idea where my life is heading from here.","Dataset label 'joy' is noisy (text reads uncertain/low); 7-way prediction unstable, flagged high.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
dataset-joy-0.oces.distractor,emotion,joy,i strongly feel that at this point in my life i am no longer desiring to walk this path that i am on and to be truthful i have no clue as to where i am going with my life from here,i strongly feel that at this point in my life i am no longer desiring to walk this path that i am on and to be truthful i have no clue as to where i am going with my life from here,oces.distractor,i strongly feel that at this point in my life i am no longer desiring to walk this path that i am on and to be truthful i have no clue as to where i am going with my life from here The bus schedule changes at the end of the season.,Noisy underlying label; kept visible for review even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
dataset-joy-1.oces.paraphrase,emotion,joy,i read too much about discovery and exploration in the wild west and while i feel that those concepts are precious taking part in them often myself this book just brings a refined feel when i sit back in the chair for some quiet time,i read too much about discovery and exploration in the wild west and while i feel that those concepts are precious taking part in them often myself this book just brings a refined feel when i sit back in the chair for some quiet time,oces.paraphrase,"I read a lot about discovery and exploration in the wild west, and while I find those ideas precious and often take part in them myself, this book simply brings a refined feeling when I sit back in the chair for some quiet time.",Contentment/joy is mild and diffuse; meaning preserved but re-review for label stability.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-joy-1.oces.distractor,emotion,joy,i read too much about discovery and exploration in the wild west and while i feel that those concepts are precious taking part in them often myself this book just brings a refined feel when i sit back in the chair for some quiet time,i read too much about discovery and exploration in the wild west and while i feel that those concepts are precious taking part in them often myself this book just brings a refined feel when i sit back in the chair for some quiet time,oces.distractor,i read too much about discovery and exploration in the wild west and while i feel that those concepts are precious taking part in them often myself this book just brings a refined feel when i sit back in the chair for some quiet time The chair is placed beside the north window.,"Clean request used verbatim as the prefix; one unrelated, affect-free ordinary_observation clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-joy-2.oces.paraphrase,emotion,joy,i love that i feel valuable i love making the choice i love that it s easy to make the choice to feel good,i love that i feel valuable i love making the choice i love that it s easy to make the choice to feel good,oces.paraphrase,"I love feeling valuable, I love making the choice, and I love that it's easy to choose to feel good.",Clear repeated joy cue (love/feel good) preserved; lightly compressed.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-joy-2.oces.distractor,emotion,joy,i love that i feel valuable i love making the choice i love that it s easy to make the choice to feel good,i love that i feel valuable i love making the choice i love that it s easy to make the choice to feel good,oces.distractor,i love that i feel valuable i love making the choice i love that it s easy to make the choice to feel good The notebook where I write this has a plain grey cover.,"Clean request used verbatim as the prefix; one unrelated, affect-free mundane_factual clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-neutral-0.oces.paraphrase,emotion,neutral,The train departs from platform four at nine in the morning.,The train departs from platform four at nine in the morning.,oces.paraphrase,The train leaves platform four at nine a.m.,"Neutral factual statement; compressed, no affect introduced.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-neutral-0.oces.distractor,emotion,neutral,The train departs from platform four at nine in the morning.,The train departs from platform four at nine in the morning.,oces.distractor,The train departs from platform four at nine in the morning. A new coat of paint was applied to the railings last week.,"Clean request used verbatim as the prefix; one unrelated, affect-free mundane_factual clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-neutral-1.oces.paraphrase,emotion,neutral,The report is due at the end of the month.,The report is due at the end of the month.,oces.paraphrase,The report has to be submitted by the end of the month.,Neutral administrative statement; lexical variation only.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-neutral-1.oces.distractor,emotion,neutral,The report is due at the end of the month.,The report is due at the end of the month.,oces.distractor,The report is due at the end of the month. The office has three meeting rooms on this floor.,"Clean request used verbatim as the prefix; one unrelated, affect-free administrative clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-neutral-2.oces.paraphrase,emotion,neutral,She placed the folder on the desk and turned on the computer.,She placed the folder on the desk and turned on the computer.,oces.paraphrase,She set the folder down on the desk and switched the computer on.,Neutral action description; lexical variation only.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-neutral-2.oces.distractor,emotion,neutral,She placed the folder on the desk and turned on the computer.,She placed the folder on the desk and turned on the computer.,oces.distractor,She placed the folder on the desk and turned on the computer. The desk faces a window overlooking the car park.,"Clean request used verbatim as the prefix; one unrelated, affect-free ordinary_observation clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-sadness-0.oces.paraphrase,emotion,sadness,i feel as though the rest of my year will be jaded due to my love for this first,i feel as though the rest of my year will be jaded due to my love for this first,oces.paraphrase,I feel as though the rest of my year will be jaded because of my love for this first one.,"Slightly garbled seed; meaning approximated, so flagged for review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-sadness-0.oces.distractor,emotion,sadness,i feel as though the rest of my year will be jaded due to my love for this first,i feel as though the rest of my year will be jaded due to my love for this first,oces.distractor,i feel as though the rest of my year will be jaded due to my love for this first The wall calendar lists twelve months on a single page.,Garbled seed; kept visible even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-sadness-1.oces.paraphrase,emotion,sadness,i am feeling quite weepy can you get rid of them and she did,i am feeling quite weepy can you get rid of them and she did,oces.paraphrase,I'm feeling quite weepy; can you get rid of them? And she did.,"Weepy cue preserved; disjointed narration makes label less certain, so review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-sadness-1.oces.distractor,emotion,sadness,i am feeling quite weepy can you get rid of them and she did,i am feeling quite weepy can you get rid of them and she did,oces.distractor,i am feeling quite weepy can you get rid of them and she did The meeting room has six chairs.,Disjointed seed; kept visible even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-sadness-2.oces.paraphrase,emotion,sadness,i walked away from the weekend feeling simply dirty like i had done something really harmful and this feeling more than anything is what overpowers my feeble attempts to justify my actions last weekend,i walked away from the weekend feeling simply dirty like i had done something really harmful and this feeling more than anything is what overpowers my feeble attempts to justify my actions last weekend,oces.paraphrase,"I walked away from the weekend feeling simply dirty, as if I had done something truly harmful, and more than anything, that feeling overpowers my feeble attempts to justify what I did last weekend.","Guilt/sadness preserved; long emotional sentence, re-review for shift.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-sadness-2.oces.distractor,emotion,sadness,i walked away from the weekend feeling simply dirty like i had done something really harmful and this feeling more than anything is what overpowers my feeble attempts to justify my actions last weekend,i walked away from the weekend feeling simply dirty like i had done something really harmful and this feeling more than anything is what overpowers my feeble attempts to justify my actions last weekend,oces.distractor,i walked away from the weekend feeling simply dirty like i had done something really harmful and this feeling more than anything is what overpowers my feeble attempts to justify my actions last weekend The lecture starts at ten and ends at noon.,"Clean request used verbatim as the prefix; one unrelated, affect-free temporal clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-surprise-0.oces.paraphrase,emotion,surprise,im feeling really weird,im feeling really weird,oces.paraphrase,I'm feeling really strange.,"Very short/ambiguous ('weird'->'strange'); could read surprise, fear or neutral, so high risk.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
dataset-surprise-0.oces.distractor,emotion,surprise,im feeling really weird,im feeling really weird,oces.distractor,im feeling really weird The clock on the wall reads half past three.,Short/ambiguous seed; kept visible even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
dataset-surprise-1.oces.paraphrase,emotion,surprise,i was overwhelmed by the feeling of being impressed i think these kids theyre years younger than me i can call them kids right,i was overwhelmed by the feeling of being impressed i think these kids theyre years younger than me i can call them kids right,oces.paraphrase,"I was overwhelmed by how impressed I felt; I think these kids, they're years younger than me, I can call them kids, right?","Amazement/surprise cue preserved; conversational aside makes it less clean, review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-surprise-1.oces.distractor,emotion,surprise,i was overwhelmed by the feeling of being impressed i think these kids theyre years younger than me i can call them kids right,i was overwhelmed by the feeling of being impressed i think these kids theyre years younger than me i can call them kids right,oces.distractor,i was overwhelmed by the feeling of being impressed i think these kids theyre years younger than me i can call them kids right The workshop lasted about two hours.,"Clean request used verbatim as the prefix; one unrelated, affect-free logistical clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-surprise-2.oces.paraphrase,emotion,surprise,i beside see smiling feel very funny,i beside see smiling feel very funny,oces.paraphrase,"Beside me, I see smiling, and I feel very funny.","Seed is near-nonsense (dataset noise); any paraphrase is approximate, so high risk and review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
dataset-surprise-2.oces.distractor,emotion,surprise,i beside see smiling feel very funny,i beside see smiling feel very funny,oces.distractor,i beside see smiling feel very funny The room has two windows and a single door.,Garbled seed; kept visible even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
sst2-val-18.oces.paraphrase,sentiment,NEGATIVE,... the movie is just a plain old monster .,... the movie is just a plain old monster . ,oces.paraphrase,"In the end, the movie is nothing but a plain old monster.","Cryptic seed with leading ellipsis; meaning approximated, so review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-18.oces.distractor,sentiment,NEGATIVE,... the movie is just a plain old monster .,... the movie is just a plain old monster . ,oces.distractor,... the movie is just a plain old monster . It runs for about ninety minutes.,Cryptic seed; kept visible even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-35.oces.paraphrase,sentiment,NEGATIVE,a sequence of ridiculous shoot - 'em - up scenes .,a sequence of ridiculous shoot - 'em - up scenes . ,oces.paraphrase,A string of ridiculous shoot-'em-up scenes.,Negative cue ('ridiculous') preserved; lexical variation.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-35.oces.distractor,sentiment,NEGATIVE,a sequence of ridiculous shoot - 'em - up scenes .,a sequence of ridiculous shoot - 'em - up scenes . ,oces.distractor,a sequence of ridiculous shoot - 'em - up scenes . The film was shot in two countries.,"Clean request used verbatim as the prefix; one unrelated, affect-free mundane_factual clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-59.oces.paraphrase,sentiment,NEGATIVE,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .","it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",oces.paraphrase,"It's just disappointingly superficial - a film with all the ingredients to be a fascinating, involving character study, yet it never does more than scratch the surface.",Clear negative judgement ('disappointingly superficial') preserved.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-59.oces.distractor,sentiment,NEGATIVE,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .","it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",oces.distractor,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . The screening began at seven o'clock.","Clean request used verbatim as the prefix; one unrelated, affect-free temporal clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-110.oces.paraphrase,sentiment,NEGATIVE,"scores no points for originality , wit , or intelligence .","scores no points for originality , wit , or intelligence . ",oces.paraphrase,"It earns no points for originality, wit, or intelligence.",Strong negative ('no points') preserved.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-110.oces.distractor,sentiment,NEGATIVE,"scores no points for originality , wit , or intelligence .","scores no points for originality , wit , or intelligence . ",oces.distractor,"scores no points for originality , wit , or intelligence . The poster uses three colours.","Clean request used verbatim as the prefix; one unrelated, affect-free ordinary_observation clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-111.oces.paraphrase,sentiment,NEGATIVE,"there is n't nearly enough fun here , despite the presence of some appealing ingredients .","there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",oces.paraphrase,"There isn't nearly enough fun here, even with some appealing ingredients present.",Negative ('not enough fun') preserved despite the concessive clause.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-111.oces.distractor,sentiment,NEGATIVE,"there is n't nearly enough fun here , despite the presence of some appealing ingredients .","there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",oces.distractor,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . The cinema has assigned seating.","Clean request used verbatim as the prefix; one unrelated, affect-free administrative clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-121.oces.paraphrase,sentiment,NEGATIVE,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,oces.paraphrase,It seems to me the film is about the art of ripping people off without ever letting them consciously realise you've done it.,"Sentiment is implicit (descriptive sentence); negativity is inferential, so review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-121.oces.distractor,sentiment,NEGATIVE,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,oces.distractor,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so The plot unfolds across two cities.,Implicit-sentiment seed; kept visible even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-136.oces.paraphrase,sentiment,NEGATIVE,looks and feels like a project better suited for the small screen .,looks and feels like a project better suited for the small screen . ,oces.paraphrase,It looks and feels like a project that would work better on the small screen.,Faint-praise negative ('better suited for TV') preserved.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-136.oces.distractor,sentiment,NEGATIVE,looks and feels like a project better suited for the small screen .,looks and feels like a project better suited for the small screen . ,oces.distractor,looks and feels like a project better suited for the small screen . The runtime is listed as one hundred minutes.,"Clean request used verbatim as the prefix; one unrelated, affect-free mundane_factual clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-162.oces.paraphrase,sentiment,NEGATIVE,"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there .","there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . ",oces.paraphrase,"There seems to be no clear sense of where the story is going, or how long it will take to get there.",Negative ('no clear path') preserved.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-162.oces.distractor,sentiment,NEGATIVE,"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there .","there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . ",oces.distractor,"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . The film is divided into three acts.","Clean request used verbatim as the prefix; one unrelated, affect-free ordinary_observation clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-211.oces.paraphrase,sentiment,NEGATIVE,to say this was done better in wilder 's some like it hot is like saying the sun rises in the east .,to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . ,oces.paraphrase,Saying this was done better in Wilder's Some Like It Hot is like saying the sun rises in the east.,"Sarcastic comparison; sentiment depends on reading the idiom, so review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-211.oces.distractor,sentiment,NEGATIVE,to say this was done better in wilder 's some like it hot is like saying the sun rises in the east .,to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . ,oces.distractor,to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . The earlier film was released decades ago.,Idiomatic/sarcastic seed; kept visible even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-319.oces.paraphrase,sentiment,NEGATIVE,too much of it feels unfocused and underdeveloped .,too much of it feels unfocused and underdeveloped . ,oces.paraphrase,Too much of it comes across as unfocused and underdeveloped.,Clear negative ('unfocused and underdeveloped') preserved.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-319.oces.distractor,sentiment,NEGATIVE,too much of it feels unfocused and underdeveloped .,too much of it feels unfocused and underdeveloped . ,oces.distractor,too much of it feels unfocused and underdeveloped . The director also wrote the screenplay.,"Clean request used verbatim as the prefix; one unrelated, affect-free mundane_factual clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
